//Taille
2
//parametre de taille
0 1
1 3
//l'intervalle de la temperature pour ferrite
298.15 1811. 2180. 2896. 5000. 6000.
//ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
6 3 2 10
//matrice GHSERp pour ferrite
//temperature i[Fe/Cr/Mo] j[C/Va] l[l'ordre] valeur
0 1 0 0 -99.808
0 1 0 1 0
0 1 0 2 3.6e10
0 1 0 3 -7.929e8
0 1 0 4 7827050
0 1 0 5 355037.737
0 1 0 6 669.67
0 1 0 7 0.00047745
0 1 0 8 -1.47721e-6
0 1 0 9 0
1 1 0 0 -99.808
1 1 0 1 0
1 1 0 2 3.6e10
1 1 0 3 -7.929e8
1 1 0 4 7827050
1 1 0 5 355037.737
1 1 0 6 669.67
1 1 0 7 0.00047745
1 1 0 8 -1.47721e-6
1 1 0 9 0
2 1 0 0 -122.9
2 1 0 1 -2.88526e32
2 1 0 2 3.6e10
2 1 0 3 -7.929e8
2 1 0 4 7687800
2 1 0 5 329025.333
2 1 0 6 856.37 
2 1 0 7 -14.169e-4
2 1 0 8 0
2 1 0 9 0
3 1 0 0 -122.9
3 1 0 1 -2.88526e32
3 1 0 2 3.6e10
3 1 0 3 -7.929e8
3 1 0 4 7687800
3 1 0 5 329025.333
3 1 0 6 856.37 
3 1 0 7 -14.169e-4
3 1 0 8 0
3 1 0 9 0
4 1 0 0 -122.9
4 1 0 1 -2.88526e32
4 1 0 2 3.6e10
4 1 0 3 -7.929e8
4 1 0 4 7687800
4 1 0 5 329025.333
4 1 0 6 856.37 
4 1 0 7 -14.169e-4
4 1 0 8 0
4 1 0 9 0
5 1 0 0 -122.9
5 1 0 1 -2.88526e32
5 1 0 2 3.6e10
5 1 0 3 -7.929e8
5 1 0 4 7687800
5 1 0 5 329025.333
5 1 0 6 856.37 
5 1 0 7 -14.169e-4
5 1 0 8 0
5 1 0 9 0
0 0 0 0 -96.4143
0 0 0 1 0
0 0 0 2 3.6e10
0 0 0 3 -7.929e8
0 0 0 4 7765159
0 0 0 5 271170.377  
0 0 0 6 711.991
0 0 0 7 -0.00581442
0 0 0 8 -5.8927e-8
0 0 0 9 0
1 0 0 0 -118.9
1 0 0 1 2.29603e31
1 0 0 2 3.6e10
1 0 0 3 -7.929e8
1 0 0 4 7687800
1 0 0 5 244561.096
1 0 0 6 887.16955
1 0 0 7 -14.169e-4
1 0 0 8 0
1 0 0 9 0
2 0 0 0 -118.9
2 0 0 1 2.29603e31
2 0 0 2 3.6e10
2 0 0 3 -7.929e8
2 0 0 4 7687800
2 0 0 5 244561.096
2 0 0 6 887.16955
2 0 0 7 -14.169e-4
2 0 0 8 0
2 0 0 9 0
3 0 0 0 -118.9
3 0 0 1 2.29603e31
3 0 0 2 3.6e10
3 0 0 3 -7.929e8
3 0 0 4 7687800
3 0 0 5 244561.096
3 0 0 6 887.16955
3 0 0 7 -14.169e-4
3 0 0 8 0
3 0 0 9 0
4 0 0 0 -118.9
4 0 0 1 2.29603e31
4 0 0 2 3.6e10
4 0 0 3 -7.929e8
4 0 0 4 7687800
4 0 0 5 244561.096
4 0 0 6 887.16955
4 0 0 7 -14.169e-4
4 0 0 8 0
4 0 0 9 0
5 0 0 0 -118.9
5 0 0 1 2.29603e31
5 0 0 2 3.6e10
5 0 0 3 -7.929e8
5 0 0 4 7687800
5 0 0 5 244561.096
5 0 0 6 887.16955
5 0 0 7 -14.169e-4
5 0 0 8 0
5 0 0 9 0
0 2 0 0 -96.46414
0 2 0 1 0
0 2 0 2 3.59999e10
0 2 0 3 -7.9289999e8
0 2 0 4 7753612
0 2 0 5 271148.375
0 2 0 6 569.1097
