//Taille
2
//parametre de taille
0 1
1 1
//l'intervalle de la temperature pour cémentite
298.15 1768.00 1811.00 2180.00 2896. 5000. 6000.00
//l'ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//t i j l valeur
0 3 1 0 -25.0861
0 3 1 1 0
0 3 1 2 0
0 3 1 3 0
0 3 1 4 72527
0 3 1 5 737.832
0 3 1 6 132.75076
0 3 1 7 -0.002654739
0 3 1 8 -1.7348e-7
0 3 1 9 0
1 3 1 0 -40.5
1 3 1 1 9.3488e30
1 3 1 2 0
1 3 1 3 0
1 3 1 4 0
1 3 1 5 -16770.075
1 3 1 6 252.6685
1 3 1 7 0
1 3 1 8 0
1 3 1 9 0
2 3 1 0 -40.5
2 3 1 1 9.3488e30
2 3 1 2 0
2 3 1 3 0
2 3 1 4 0
2 3 1 5 -16770.075
2 3 1 6 252.6685
2 3 1 7 0
2 3 1 8 0
2 3 1 9 0
3 3 1 0 -40.5
3 3 1 1 9.3488e30
3 3 1 2 0
3 3 1 3 0
3 3 1 4 0
3 3 1 5 -16770.075
3 3 1 6 252.6685
3 3 1 7 0
3 3 1 8 0
3 3 1 9 0
4 3 1 0 -40.5
4 3 1 1 9.3488e30
4 3 1 2 0
4 3 1 3 0
4 3 1 4 0
4 3 1 5 -16770.075
4 3 1 6 252.6685
4 3 1 7 0
4 3 1 8 0
4 3 1 9 0
5 3 1 0 -40.5
5 3 1 1 9.3488e30
5 3 1 2 0
5 3 1 3 0
5 3 1 4 0
5 3 1 5 -16770.075
5 3 1 6 252.6685
5 3 1 7 0
5 3 1 8 0
5 3 1 9 0
6 3 1 0 -40.5
6 3 1 1 9.3488e30
6 3 1 2 0
6 3 1 3 0
6 3 1 4 0
6 3 1 5 -16770.075
6 3 1 6 252.6685
6 3 1 7 0
6 3 1 8 0
6 3 1 9 0
0 3 0 0 -49.3861
0 3 0 1 0
0 3 0 2 1.2e10
0 3 0 3 -2.643e8
0 3 0 4 2635127
0 3 0 5 33405.6
0 3 0 6 297.247
0 3 0 7 -0.00312704
0 3 0 8 -1.7348e-7
0 3 0 9 0
1 3 0 0 -64.799
1 3 0 1 9.3488e30
1 3 0 2 1.2e10
1 3 0 3 -2.643e8
1 3 0 4 2562600
1 3 0 5 15897.693
1 3 0 6 417.165
1 3 0 7 -4.723e-4
1 3 0 8 0
1 3 0 9 0
2 3 0 0 -64.799
2 3 0 1 9.3488e30
2 3 0 2 1.2e10
2 3 0 3 -2.643e8
2 3 0 4 2562600
2 3 0 5 15897.693
2 3 0 6 417.165
2 3 0 7 -4.723e-4
2 3 0 8 0
2 3 0 9 0
3 3 0 0 -64.799
3 3 0 1 9.3488e30
3 3 0 2 1.2e10
3 3 0 3 -2.643e8
3 3 0 4 2562600
3 3 0 5 15897.693
3 3 0 6 417.165
